code6,name,final_status,growth_profile,final_score,growth_core,quality_score,balance_score,news_news_score,current_revenue_growth,current_profit_growth,revenue_acceleration,profit_acceleration,persistence_score,cash_margin,cash_to_profit,current_roe,current_net_margin,current_debt_ratio,news_news_count,news_positive_articles,news_negative_articles,news_positive_groups,news_negative_groups,low_base_flag,cash_mismatch_flag,high_debt_flag,factor_status,factor_coverage
603986,兆易创新,成长质量优先,持续成长,92.2017,98.7677,84.1034,88.5348,92.45,178.6723,1091.4991,153.5569,1042.0244,100.0,0.523,0.8821,23.13,59.5292,11.4652,17,16,0,"['业绩兑现', '产能产品', '研发技术', '行业景气', '需求订单']",[],True,False,False,有效,1.0
002558,巨人网络,加速/反转观察,加速成长,86.7564,92.8344,83.1329,82.9469,75.99,182.0797,175.9552,109.3923,152.8229,83.3333,0.4419,0.9662,13.22,48.8285,17.0531,17,10,1,"['业绩兑现', '产能产品', '战略拓展', '研发技术', '需求订单']",['业绩风险'],False,False,False,有效,1.0
000792,盐湖股份,加速/反转观察,加速成长,85.6907,88.3395,83.9937,85.9323,78.5,79.8793,137.8777,77.4535,56.1208,66.6667,0.4813,1.0184,13.34,55.5473,14.0677,18,15,4,"['业绩兑现', '产能产品', '战略拓展', '研发技术', '行业景气']",['业绩风险'],False,False,False,有效,1.0
000426,兴业银锡,成长质量优先,持续成长,85.1596,93.511,84.224,61.9769,,73.1308,184.4196,43.043,173.0211,100.0,0.4934,0.9336,21.32,54.2597,38.0231,0,0,0,[],[],False,False,False,有效,1.0
002192,融捷股份,加速/反转观察,反转/低基数,84.8575,95.533,78.9912,75.1289,69.01,402.3508,1076.1437,352.6384,1046.622,66.6667,0.2901,0.4415,24.58,65.5428,24.8711,19,18,6,"['业绩兑现', '产能产品', '战略拓展', '研发技术', '行业景气', '需求订单']","['业绩风险', '扩张不确定', '现金与负债', '经营质量']",True,False,False,有效,1.0
000612,焦作万方,加速/反转观察,加速成长,83.4619,84.0687,79.4851,89.595,,25.3756,129.5793,24.9149,47.6314,83.3333,0.2808,0.947,15.89,29.6565,10.405,0,0,0,[],[],False,False,False,有效,1.0
002466,天齐锂业,加速/反转观察,反转/低基数,83.1146,93.706,73.0172,71.5354,,153.322,4925.4591,174.1213,4819.6065,50.0,0.1807,0.5215,9.24,56.8288,28.4646,0,0,0,[],[],True,False,False,有效,1.0
002440,闰土股份,成长质量优先,持续成长,82.9413,91.1804,69.1576,85.7912,,32.4862,318.6761,31.8742,105.1396,100.0,0.1756,1.0043,6.17,17.6509,14.2088,0,0,0,[],[],True,False,False,有效,1.0
601872,招商轮船,加速/反转观察,反转/低基数,82.7658,92.2393,83.7024,52.4723,,56.1525,227.5725,46.9355,209.8602,83.3333,0.4137,1.1683,15.61,35.7127,47.5277,0,0,0,[],[],True,False,False,有效,1.0
000807,云铝股份,成长质量优先,持续成长,82.604,84.541,78.9028,84.1951,,20.3002,177.614,10.0294,140.3715,100.0,0.2395,1.0903,21.89,25.2084,15.8049,0,0,0,[],[],False,False,False,有效,1.0
002653,海思科,加速/反转观察,反转/低基数,82.5944,93.6226,77.7957,61.1097,79.59,54.7145,426.9824,36.806,461.3417,83.3333,0.2457,0.8936,18.3,27.4976,38.8903,16,14,5,"['业绩兑现', '产能产品', '战略拓展', '研发技术', '需求订单']",['业绩风险'],True,False,False,有效,1.0
001337,四川黄金,成长质量优先,持续成长,82.1219,87.5031,87.5627,61.1843,72.99,87.0261,107.3448,26.6486,19.6565,100.0,0.6863,1.3121,21.86,52.3041,38.8157,14,10,4,"['业绩兑现', '产能产品', '战略拓展', '研发技术', '行业景气', '需求订单']","['业绩风险', '治理监管']",False,False,False,有效,1.0
000036,华联控股,加速/反转观察,反转/低基数,81.6466,90.7248,72.669,72.3668,,60.1483,1260.8264,14.0224,1187.6791,66.6667,0.4523,5.5827,0.54,13.1469,27.6332,0,0,0,[],[],True,False,False,有效,1.0
603317,天味食品,加速/反转观察,加速成长,81.4874,86.5966,72.6945,83.7456,,45.7951,100.3959,46.5887,109.1889,66.6667,0.186,0.9902,8.42,20.0539,16.2544,0,0,0,[],[],False,False,False,有效,1.0
600605,汇通能源,加速/反转观察,加速成长,81.3942,80.4604,75.291,96.402,,44.3429,25.0434,68.8207,99.684,66.6667,0.5733,1.85,1.81,35.7932,3.598,0,0,0,[],[],False,False,False,有效,1.0
